                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.4119,                 1.6142,                 1.3057,                0.35475,                0.37332,                0.30002,                 0.1818,                 1.4812,                 2.3233,                 1.5382,             0.00032208,             0.00032208,             0.00032208
                     58,                  1.407,                 1.6081,                 1.3042,                 0.3376,                0.39527,                0.29903,                0.17981,                 1.4802,                 2.2652,                 1.5546,             0.00031508,             0.00031508,             0.00031508
                     59,                 1.4206,                 1.6157,                 1.3161,                0.32845,                0.37889,                0.29201,                0.17657,                 1.4348,                 2.3195,                 1.5087,             0.00030808,             0.00030808,             0.00030808
                     60,                 1.4127,                  1.589,                 1.3058,                0.34445,                0.38647,                0.30227,                0.18507,                 1.4668,                 2.3072,                  1.524,             0.00030108,             0.00030108,             0.00030108
                     61,                 1.4117,                  1.591,                 1.3108,                0.34468,                 0.3935,                0.29611,                0.17975,                 1.4788,                 2.3177,                 1.5608,             0.00029408,             0.00029408,             0.00029408
                     62,                 1.3885,                 1.5487,                 1.2975,                0.33483,                0.37936,                 0.2898,                0.17647,                 1.4677,                 2.2195,                 1.5439,             0.00028708,             0.00028708,             0.00028708
                     63,                 1.3931,                 1.5497,                 1.3011,                0.32895,                0.36901,                0.27768,                0.16745,                 1.4699,                 2.3359,                 1.5428,             0.00028009,             0.00028009,             0.00028009
                     64,                 1.4036,                  1.544,                 1.3004,                0.33944,                0.37171,                 0.2803,                0.17128,                 1.4678,                  2.358,                 1.5281,             0.00027309,             0.00027309,             0.00027309
                     65,                 1.4054,                 1.5344,                 1.2957,                0.34551,                0.36845,                0.28663,                0.17469,                 1.4487,                 2.3452,                 1.5307,             0.00026609,             0.00026609,             0.00026609
                     66,                 1.4052,                 1.5366,                  1.298,                0.33018,                0.36165,                0.28104,                0.17153,                  1.482,                 2.3609,                 1.5516,             0.00025909,             0.00025909,             0.00025909
                     67,                 1.3898,                  1.522,                 1.2918,                0.32758,                0.36223,                0.28236,                0.16967,                 1.4302,                 2.3304,                 1.5035,             0.00025209,             0.00025209,             0.00025209
                     68,                 1.4003,                 1.5195,                 1.3032,                0.33572,                0.35905,                0.28864,                0.17436,                 1.4715,                 2.3531,                 1.5443,             0.00024509,             0.00024509,             0.00024509
                     69,                 1.3992,                 1.5046,                 1.2965,                0.34532,                0.36343,                0.28377,                0.17275,                 1.4733,                 2.3983,                 1.5394,             0.00023809,             0.00023809,             0.00023809
                     70,                 1.3991,                 1.5231,                 1.2935,                0.34719,                 0.3841,                0.28368,                0.17268,                 1.4355,                 2.3483,                 1.5188,              0.0002311,              0.0002311,              0.0002311
                     71,                 1.3896,                 1.4953,                 1.2892,                 0.3536,                0.34537,                0.28031,                0.16995,                 1.4743,                 2.3625,                  1.545,              0.0002241,              0.0002241,              0.0002241
                     72,                 1.3976,                 1.4896,                 1.3012,                0.35481,                0.35906,                0.29057,                0.17434,                 1.4848,                 2.3661,                  1.551,              0.0002171,              0.0002171,              0.0002171
                     73,                   1.38,                 1.4643,                 1.2838,                0.35009,                0.36204,                0.29045,                0.17654,                 1.4552,                 2.4333,                  1.533,              0.0002101,              0.0002101,              0.0002101
